epoch     iter    rate   |  top_cls_loss   reg_loss   |  fuse_cls_loss  reg_loss  |  
-------------------------------------------------------------------------------------
epoch     iter    rate   |  top_cls_loss   reg_loss   |  fuse_cls_loss  reg_loss  |  
-------------------------------------------------------------------------------------
epoch     iter    rate   |  top_cls_loss   reg_loss   |  fuse_cls_loss  reg_loss  |  
-------------------------------------------------------------------------------------
epoch     iter    rate   |  top_cls_loss   reg_loss   |  fuse_cls_loss  reg_loss  |  
-------------------------------------------------------------------------------------
epoch     iter    rate   |  top_cls_loss   reg_loss   |  fuse_cls_loss  reg_loss  |  
-------------------------------------------------------------------------------------
20.0   20   0.0500   |   0.22931   1.75291   |   1.92192   24.73967  
21.0   21   0.0500   |   0.12802   1.45128   |   0.00097   22.23815  
22.0   22   0.0500   |   0.12875   1.43901   |   1.40135   25.51813  
23.0   23   0.0500   |   0.17488   1.18169   |   1.96493   21.19317  
24.0   24   0.0500   |   0.23089   1.63782   |   3.76696   22.52733  
25.0   25   0.0500   |   0.18015   1.05119   |   1.04632   19.40141  
26.0   26   0.0500   |   0.23534   0.85850   |   4.06591   20.08068  
27.0   27   0.0500   |   0.23431   0.82384   |   0.86755   16.04669  
28.0   28   0.0500   |   0.22658   0.39883   |   0.80419   17.68037  
29.0   29   0.0500   |   0.17185   0.61493   |   0.43337   19.50599  
30.0   30   0.0500   |   0.31194   0.67603   |   5.07171   21.05058  
31.0   31   0.0500   |   0.33334   0.50035   |   1.70953   18.71359  
32.0   32   0.0500   |   0.29596   0.62807   |   3.25786   16.67004  
33.0   33   0.0500   |   0.20078   1.12592   |   6.28359   17.25683  
34.0   34   0.0500   |   0.23919   1.84822   |   4.73949   13.45502  
35.0   35   0.0500   |   0.30620   0.71044   |   3.04691   13.30600  
36.0   36   0.0500   |   0.25613   0.69579   |   4.19853   20.09227  
37.0   37   0.0500   |   0.20593   0.84740   |   2.79724   16.94250  
38.0   38   0.0500   |   0.16688   0.59195   |   0.76183   15.53292  
39.0   39   0.0500   |   0.22660   0.41964   |   4.29277   16.05856  
40.0   40   0.0500   |   0.23048   0.42681   |   4.59505   15.01330  
41.0   41   0.0500   |   0.29917   0.56607   |   3.07405   16.22120  
42.0   42   0.0500   |   0.27843   0.53080   |   2.51034   14.95102  
43.0   43   0.0500   |   0.29984   0.30214   |   1.49053   13.80292  
44.0   44   0.0500   |   0.24496   0.58456   |   6.33466   14.83483  
45.0   45   0.0500   |   0.14249   0.64565   |   1.01121   16.98070  
46.0   46   0.0500   |   0.14786   0.47642   |   0.67564   15.65445  
47.0   47   0.0500   |   0.20345   0.47749   |   2.84570   14.59561  
48.0   48   0.0500   |   0.17907   0.65003   |   1.51242   16.11736  
49.0   49   0.0500   |   0.19170   0.82091   |   1.09739   15.27901  
50.0   50   0.0500   |   0.14892   0.77910   |   2.81309   12.39532  
51.0   51   0.0500   |   0.17364   0.27774   |   0.02504   11.09698  
52.0   52   0.0500   |   0.19089   0.70834   |   2.32242   16.95414  
53.0   53   0.0500   |   0.14935   0.47843   |   2.10459   13.40248  
54.0   54   0.0500   |   0.13115   0.60241   |   0.11084   11.58265  
55.0   55   0.0500   |   0.19385   0.44743   |   0.73109   13.98515  
56.0   56   0.0500   |   0.18053   0.47185   |   0.00030   16.38761  
57.0   57   0.0500   |   0.12568   0.74475   |   0.02861   14.34636  
58.0   58   0.0500   |   0.14117   2.19917   |   1.03094   16.68594  
59.0   59   0.0500   |   0.13635   0.48940   |   1.49323   11.56892  
60.0   60   0.0500   |   0.12010   0.28911   |   1.13937   13.70207  
61.0   61   0.0500   |   0.15143   0.58402   |   1.40373   13.71156  
62.0   62   0.0500   |   0.14970   0.57374   |   0.00643   12.73915  
63.0   63   0.0500   |   0.12219   0.34801   |   0.42417   14.11888  
64.0   64   0.0500   |   0.11583   0.37346   |   1.02582   11.26796  
65.0   65   0.0500   |   0.16362   0.81199   |   0.55063   10.45055  
66.0   66   0.0500   |   0.23163   0.59593   |   1.65722   13.72236  
67.0   67   0.0500   |   0.15698   1.21765   |   1.86003   11.25273  
68.0   68   0.0500   |   0.25572   0.52412   |   0.98495   12.17173  
69.0   69   0.0500   |   0.13508   0.75693   |   0.08772   12.48995  
70.0   70   0.0500   |   0.14059   0.37695   |   0.42626   11.35711  
71.0   71   0.0500   |   0.15640   0.41925   |   2.65681   10.62549  
72.0   72   0.0500   |   0.21381   0.38989   |   0.26569   11.76308  
73.0   73   0.0500   |   0.10920   0.74330   |   1.82030   12.67191  
74.0   74   0.0500   |   0.22622   0.29860   |   0.07351   11.73288  
75.0   75   0.0500   |   0.11963   0.44050   |   1.81427   12.43801  
76.0   76   0.0500   |   0.13931   0.44105   |   0.90847   10.44502  
77.0   77   0.0500   |   0.14267   1.28172   |   1.01689   10.57282  
78.0   78   0.0500   |   0.19017   0.45192   |   1.65914   9.79306  
79.0   79   0.0500   |   0.13109   0.25583   |   0.27276   8.08702  
80.0   80   0.0500   |   0.12788   0.34590   |   0.02207   10.91326  
81.0   81   0.0500   |   0.20182   0.39116   |   0.96118   9.44323  
82.0   82   0.0500   |   0.12325   0.16676   |   0.17398   9.73459  
83.0   83   0.0500   |   0.17446   0.38576   |   0.04282   9.50254  
84.0   84   0.0500   |   0.21282   0.37887   |   0.88269   10.17073  
85.0   85   0.0500   |   0.13807   1.15526   |   0.76253   11.36303  
86.0   86   0.0500   |   0.13358   0.72504   |   0.57986   8.11520  
87.0   87   0.0500   |   0.14712   0.45684   |   1.47129   9.93561  
88.0   88   0.0500   |   0.17322   0.30141   |   0.21558   8.30943  
