epoch     iter    rate   |  top_cls_loss   reg_loss   |  fuse_cls_loss  reg_loss  |  
-------------------------------------------------------------------------------------
epoch     iter    rate   |  top_cls_loss   reg_loss   |  fuse_cls_loss  reg_loss  |  
-------------------------------------------------------------------------------------
epoch     iter    rate   |  top_cls_loss   reg_loss   |  fuse_cls_loss  reg_loss  |  
-------------------------------------------------------------------------------------
58.0   58   0.0500   |   0.25865   0.35770   |   0.56514   15.04039  
59.0   59   0.0500   |   0.21447   0.31735   |   1.85118   14.55470  
60.0   60   0.0500   |   0.25393   0.17024   |   0.80417   13.52981  
61.0   61   0.0500   |   0.15759   0.60723   |   0.14361   13.88680  
62.0   62   0.0500   |   0.21942   0.31827   |   0.21922   10.07428  
63.0   63   0.0500   |   0.16540   0.39967   |   0.46272   10.60956  
64.0   64   0.0500   |   0.15739   0.59022   |   0.10778   10.72000  
65.0   65   0.0500   |   0.18510   0.32198   |   0.06995   10.96662  
66.0   66   0.0500   |   0.14912   0.14309   |   0.10546   9.52800  
67.0   67   0.0500   |   0.18976   0.42777   |   1.17466   10.61409  
68.0   68   0.0500   |   0.22559   0.75769   |   1.04174   10.95433  
69.0   69   0.0500   |   0.21512   0.35500   |   0.72628   10.57856  
70.0   70   0.0500   |   0.21863   0.52093   |   1.57852   10.29944  
71.0   71   0.0500   |   0.19688   0.24392   |   0.43445   10.48216  
72.0   72   0.0500   |   0.14515   0.39264   |   0.13997   10.29297  
73.0   73   0.0500   |   0.13840   0.51893   |   0.71827   14.19793  
74.0   74   0.0500   |   0.16157   0.35754   |   0.57433   8.92404  
75.0   75   0.0500   |   0.11677   0.75262   |   0.00979   10.19217  
76.0   76   0.0500   |   0.13591   0.37661   |   0.49042   12.04492  
77.0   77   0.0500   |   0.11023   0.33426   |   0.80151   8.43805  
78.0   78   0.0500   |   0.16476   0.34506   |   0.65562   11.04241  
79.0   79   0.0500   |   0.11548   0.26501   |   0.16383   8.55671  
80.0   80   0.0500   |   0.12931   0.26582   |   0.32472   9.55148  
81.0   81   0.0500   |   0.13068   0.22101   |   0.21609   10.87195  
82.0   82   0.0500   |   0.14452   0.26209   |   0.30193   8.67783  
83.0   83   0.0500   |   0.13630   0.35880   |   0.40254   9.88271  
84.0   84   0.0500   |   0.12590   0.40245   |   0.41243   11.52119  
85.0   85   0.0500   |   0.12790   0.41802   |   0.72041   10.08378  
86.0   86   0.0500   |   0.13225   0.51993   |   0.96907   11.42239  
87.0   87   0.0500   |   0.08831   0.38924   |   0.46614   8.83617  
88.0   88   0.0500   |   0.12677   0.69084   |   0.21377   9.34828  
89.0   89   0.0500   |   0.10326   0.81783   |   0.64232   8.44929  
90.0   90   0.0500   |   0.10707   0.12424   |   1.32793   11.73128  
91.0   91   0.0500   |   0.12068   0.60412   |   0.01083   10.62203  
92.0   92   0.0500   |   0.10479   0.06044   |   1.15625   10.52875  
93.0   93   0.0500   |   0.10693   0.28858   |   0.86187   7.97920  
94.0   94   0.0500   |   0.12877   0.27779   |   0.96005   8.73969  
95.0   95   0.0500   |   0.10988   0.53334   |   0.40458   8.56637  
96.0   96   0.0500   |   0.18268   0.47793   |   0.68664   9.43358  
97.0   97   0.0500   |   0.11998   0.68177   |   0.37555   9.35461  
98.0   98   0.0500   |   0.13837   0.50379   |   0.20317   9.05993  
99.0   99   0.0500   |   0.11900   0.66656   |   0.73972   12.75077  
100.0   100   0.0500   |   0.19608   0.91483   |   1.06658   9.87873  
101.0   101   0.0500   |   0.18759   1.60513   |   1.11388   9.53457  
102.0   102   0.0500   |   0.13457   0.47724   |   0.38530   11.73550  
103.0   103   0.0500   |   0.10920   0.48603   |   1.01597   9.09774  
104.0   104   0.0500   |   0.11134   0.87613   |   0.12599   9.16247  
105.0   105   0.0500   |   0.13479   0.69808   |   0.13018   8.53189  
106.0   106   0.0500   |   0.19974   0.35578   |   0.19588   7.99628  
107.0   107   0.0500   |   0.21282   0.33741   |   0.26291   7.97766  
108.0   108   0.0500   |   0.10773   0.31563   |   0.60839   8.53603  
109.0   109   0.0500   |   0.09694   0.33799   |   0.81681   9.36501  
110.0   110   0.0500   |   0.19808   0.32730   |   0.62981   8.97092  
111.0   111   0.0500   |   0.09983   0.31967   |   0.56720   9.75543  
112.0   112   0.0500   |   0.12076   0.34049   |   0.48688   7.22606  
113.0   113   0.0500   |   0.11683   0.26307   |   0.18065   8.07308  
114.0   114   0.0500   |   0.19470   0.45272   |   0.40460   8.56561  
115.0   115   0.0500   |   0.10592   0.18143   |   0.92169   6.80927  
116.0   116   0.0500   |   0.18273   0.27090   |   0.32362   8.18986  
117.0   117   0.0500   |   0.16626   0.30980   |   0.17565   7.89061  
118.0   118   0.0500   |   0.10241   0.27205   |   0.71826   6.34043  
119.0   119   0.0500   |   0.09936   0.33528   |   0.41034   10.58951  
120.0   120   0.0500   |   0.11950   0.33970   |   0.70738   11.11978  
121.0   121   0.0500   |   0.12512   0.47223   |   0.50588   8.64596  
122.0   122   0.0500   |   0.11538   0.60083   |   0.88160   11.15589  
123.0   123   0.0500   |   0.17581   0.45966   |   0.63298   11.03342  
124.0   124   0.0500   |   0.09907   0.39292   |   0.59612   8.03839  
125.0   125   0.0500   |   0.13312   0.19460   |   0.96650   10.32060  
126.0   126   0.0500   |   0.17233   0.31977   |   0.83958   9.02582  
127.0   127   0.0500   |   0.11391   0.39015   |   0.63073   8.57108  
128.0   128   0.0500   |   0.18459   0.79148   |   1.74288   9.13880  
129.0   129   0.0500   |   0.11015   0.71587   |   0.33362   7.20028  
130.0   130   0.0500   |   0.15691   0.18120   |   0.77567   8.19086  
131.0   131   0.0500   |   0.09855   0.47842   |   0.76828   9.47078  
132.0   132   0.0500   |   0.13613   0.45584   |   0.26455   8.07077  
133.0   133   0.0500   |   0.10476   0.46330   |   0.41568   8.64021  
134.0   134   0.0500   |   0.12811   0.34577   |   0.26034   6.83018  
135.0   135   0.0500   |   0.19263   0.50352   |   0.77931   7.92704  
136.0   136   0.0500   |   0.13749   0.46721   |   0.23108   13.99619  
137.0   137   0.0500   |   0.10611   0.49026   |   0.06882   7.01976  
138.0   138   0.0500   |   0.11943   0.72069   |   0.05213   11.05007  
139.0   139   0.0500   |   0.15709   0.57851   |   1.17609   8.46632  
140.0   140   0.0500   |   0.13768   0.30355   |   0.42323   8.17424  
141.0   141   0.0500   |   0.14658   0.26519   |   0.44168   7.94570  
142.0   142   0.0500   |   0.18091   0.32538   |   0.54961   7.45452  
143.0   143   0.0500   |   0.09502   0.70745   |   0.02065   8.54210  
144.0   144   0.0500   |   0.11556   0.42588   |   0.06251   6.08040  
